time,open,high,low,close,volume
2025-04-04 10:45:00,3110.87,3115.5,3104.7,3110.28,4539
2025-04-04 11:00:00,3110.26,3136.5,3109.13,3134.49,5910
2025-04-04 11:15:00,3134.48,3134.53,3126.13,3127.29,4946
2025-04-04 11:30:00,3127.32,3129.18,3106.69,3109.14,5308
2025-04-04 11:45:00,3109.37,3112.14,3095.44,3110.18,4918
2025-04-04 12:00:00,3110.37,3111.82,3091.46,3092.79,4474
2025-04-04 12:15:00,3092.8,3104.08,3091.04,3096.66,5301
2025-04-04 12:30:00,3096.62,3101.22,3070.83,3088.87,6613
2025-04-04 12:45:00,3088.68,3090.26,3069.28,3071.04,5121
2025-04-04 13:00:00,3070.99,3082.57,3069.88,3082.28,5254
2025-04-04 13:15:00,3082.27,3087.38,3075.49,3075.71,4113
2025-04-04 13:30:00,3075.49,3080.4,3059.48,3074.7,5451
2025-04-04 13:45:00,3074.69,3076.93,3061.33,3061.7,4926
2025-04-04 14:00:00,3061.68,3061.68,3047.23,3048.82,5366
2025-04-04 14:15:00,3048.7,3058.57,3041.64,3047.73,5166
2025-04-04 14:30:00,3047.74,3051.44,3041.77,3042.58,5139
2025-04-04 14:45:00,3042.59,3050.42,3026.85,3038.41,5573
2025-04-04 15:00:00,3038.4,3050.28,3031.17,3043.83,5578
2025-04-04 15:15:00,3043.85,3044.4,3023.69,3026.27,5032
2025-04-04 15:30:00,3026.25,3035.46,3017.26,3017.87,5595
2025-04-04 15:45:00,3017.8,3024.95,3017.02,3021.75,4789
2025-04-04 16:00:00,3021.76,3025.97,3017.57,3022.29,4655
2025-04-04 16:15:00,3022.25,3032.27,3020.82,3030.53,4196
2025-04-04 16:30:00,3030.52,3036.69,3026.66,3032.49,4236
2025-04-04 16:45:00,3032.5,3032.59,3029.17,3031.09,3658
2025-04-04 17:00:00,3031.08,3032.82,3024.58,3027.2,3645
2025-04-04 17:15:00,3027.26,3027.7,3017.16,3018.09,4332
2025-04-04 17:30:00,3018.19,3028.41,3015.58,3023.82,4507
2025-04-04 17:45:00,3023.8,3026.43,3022.57,3025.79,3660
2025-04-04 18:00:00,3025.77,3027.76,3022.19,3024.15,3701
2025-04-04 18:15:00,3024.16,3025.48,3021.46,3024.5,2843
2025-04-04 18:30:00,3024.51,3025.97,3021.35,3021.75,2894
2025-04-04 18:45:00,3021.76,3025.89,3017.86,3025.44,3263
2025-04-04 19:00:00,3025.45,3027.74,3022.11,3023.64,3373
2025-04-04 19:15:00,3023.59,3034.59,3021.95,3028.5,3395
2025-04-04 19:30:00,3028.51,3031.48,3027.67,3030.01,3311
2025-04-04 19:45:00,3030.05,3040.81,3029.97,3036.28,4656
2025-04-04 20:00:00,3036.33,3038.4,3033.75,3038.39,2015
2025-04-04 20:15:00,3038.32,3040.84,3035.78,3038.05,1661
2025-04-04 20:30:00,3038.02,3038.38,3035.64,3035.94,1367
2025-04-04 20:45:00,3035.99,3040.45,3035.69,3038.51,1289
2025-04-06 22:00:00,3034.91,3034.91,2982.11,3031.91,1512
2025-04-06 22:15:00,3031.87,3032.0,2998.53,3014.69,2688
2025-04-06 22:30:00,3014.63,3021.43,3006.99,3016.23,2665
2025-04-06 22:45:00,3016.24,3017.44,3003.39,3009.29,1828
2025-04-06 23:00:00,3009.28,3016.67,3004.44,3008.68,1370
2025-04-06 23:15:00,3008.65,3008.75,2982.25,2984.76,2722
2025-04-06 23:30:00,2984.91,2990.55,2976.78,2987.48,2828
2025-04-06 23:45:00,2987.5,3001.99,2984.35,2999.83,3069
2025-04-07 00:00:00,2999.79,3009.29,2970.47,2981.23,4362
